floor,floors_count,rooms_count,total_meters,price,underground,price_per_meter
6,10,2,54.2,26500000,True,488930
11,15,2,53.0,30500000,True,575472
19,25,2,45.7,32000000,True,700219
3,6,2,71.4,38500000,True,539216
19,53,2,75.0,51500000,True,686667
11,13,2,77.0,64000000,True,831169
23,25,1,96.8,20424800,True,211000
4,10,2,54.0,7000000,False,129630
4,23,2,51.9,7006500,False,135000
5,7,2,36.0,7800000,False,216667
4,10,1,48.0,9200000,True,191667
20,26,2,51.0,9899000,True,194098
5,7,2,54.3,12600000,False,232044
5,9,2,54.5,14000000,False,256881
7,7,2,55.0,14500000,False,263636
2,4,2,60.4,20135000,False,333361
5,5,1,54.7,22000000,True,402194
5,18,2,65.0,22750000,False,350000
7,8,2,55.0,25000000,False,454545
4,6,2,76.6,37103093,True,484375
2,12,1,40.5,4263400,False,105269
1,4,2,49.6,4550000,False,91734
2,12,1,37.4,5049000,False,135000
3,14,1,38.8,5900000,False,152062
12,15,2,46.5,6975000,False,150000
1,12,2,54.5,7400000,False,135780
2,3,2,35.5,9400000,False,264789
12,21,1,38.59,12348506,True,319992
2,51,1,37.01,17209650,True,465000
4,13,1,41.1,19950000,True,485401
23,51,1,44.29,22942220,True,518000
23,42,1,41.0,25000000,True,609756
6,40,1,40.49,25000000,True,617436
50,55,2,42.47,26900000,True,633388
50,55,2,42.62,26900000,True,631159
8,22,2,70.5,27650000,True,392199
4,12,2,58.3,31000000,True,531732
6,13,1,48.6,32493965,True,668600
10,25,2,56.0,33000000,True,589286
50,55,2,65.21,40500000,True,621070
36,53,2,78.0,45800000,True,587179
9,21,2,86.0,55000000,True,639535
59,85,2,80.6,72247575,True,896372
54,85,2,83.3,72809063,True,874058
3,5,2,42.6,3850000,False,90376
24,24,1,39.9,4407992,False,110476
2,24,1,30.3,5322250,False,175652
15,20,1,43.12,5850000,False,135668
1,3,2,53.5,6147000,False,114897
4,5,1,31.3,6600000,False,210863
14,16,1,36.0,6900000,True,191667
19,19,1,24.0,8300000,False,345833
1,5,1,40.9,9100000,True,222494
4,5,2,58.0,10500000,True,181034
8,8,2,44.0,11800000,False,268182
12,18,2,69.72,18250000,True,261761
2,13,2,85.9,18898000,False,220000
3,8,1,39.3,19118473,True,486475
3,9,2,65.21,29996600,False,460000
2,9,2,92.98,32477914,True,349300
11,14,2,113.0,65000000,True,575221
1,5,2,42.2,3500000,False,82938
5,5,2,47.1,4800000,False,101911
3,3,1,48.9,5325000,False,108896
1,8,2,64.0,6650000,False,103906
5,16,2,56.1,8790000,True,156684
1,10,2,61.06,9152711,False,149897
11,12,1,34.8,9350000,True,268678
3,8,2,76.5,12546000,False,164000
25,30,1,37.4,12855764,True,343737
9,27,1,47.1,21999000,True,467070
8,27,2,74.3,28000000,True,376851
2,13,2,121.4,27922000,False,230000
2,9,2,66.53,29200017,False,438900
14,21,2,57.0,30900000,True,542105
4,20,1,76.13,32164925,True,422500
3,5,1,46.3,41670000,True,900000
13,18,2,83.5,43479034,True,520707
15,25,1,35.0,4000000,False,114286
21,26,1,35.3,8500000,True,240793
3,5,2,52.8,9850000,True,186553
9,15,2,70.0,10500000,False,150000
8,9,1,50.0,15250000,False,305000
15,20,2,60.0,19500000,False,325000
4,8,2,70.0,32000000,True,457143
11,21,1,49.0,4990000,False,101837
2,25,2,50.68,5877360,False,115970
8,9,2,44.0,7500000,True,170455
10,16,1,46.7,7939000,False,170000
2,3,1,74.5,8932000,False,119893
5,9,2,56.8,10500000,False,184859
3,8,2,77.4,11550000,False,149225
1,8,2,49.3,14000000,False,283976
4,4,1,46.0,3400000,False,73913
1,5,1,29.8,3750000,False,125839
2,16,1,38.0,4000000,False,105263
1,5,2,45.0,4190000,False,93111
4,5,1,33.0,4500000,False,136364
10,16,1,40.0,4650000,False,116250
2,21,1,33.66,4712400,False,140000
5,17,1,41.2,4800000,False,116505
19,20,1,39.1,4887500,False,125000
2,3,1,41.0,4915000,False,119878
15,15,1,35.0,5000000,False,142857
4,12,1,33.7,5560500,False,165000
3,3,1,56.0,6098000,False,108893
12,16,1,56.07,8130000,False,144997
7,18,2,45.0,8307500,False,184611
7,9,1,31.8,9000000,True,283019
3,22,1,39.0,10650000,False,273077
13,15,2,49.8,11454000,False,230000
6,9,2,40.0,13990000,True,349750
3,29,1,44.1,14610330,True,331300
2,19,2,78.2,14790000,True,189130
8,9,1,35.84,14779999,True,412388
18,41,1,30.2,15600000,True,516556
3,5,1,20.0,15750000,False,787500
16,18,2,48.97,17200000,True,351235
9,23,1,31.9,17900000,True,561129
8,23,2,31.9,17900000,True,561129
10,13,2,42.4,18500000,True,436321
30,30,2,49.0,19500000,True,397959
17,35,1,37.9,19851626,True,523790
2,9,1,67.3,22222460,True,330200
14,18,2,40.0,23500000,True,587500
21,37,2,60.1,23900000,True,397671
